geo_type,name,alternative_name,region,country,date,driving,walking
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-13,100,100
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-14,102.95,105.83
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-15,106.88,107.01
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-16,114.23,107.54
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-17,119.56,128.18
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-18,125.6,144.17
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-19,103.22,106.53
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-20,105.35,109.29
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-21,103.96,101.18
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-22,105.07,109.82
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-23,106.4,113.72
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-24,121.52,106
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-25,123.54,144.65
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-26,105.16,115.86
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-27,104.29,100.74
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-28,102.19,98.38
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-29,108.17,117.22
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-30,108.61,104.12
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-01-31,116.1,130.54
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-01,122.73,152.85
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-02,112.43,135.06
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-03,99.35,110.04
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-04,100.67,108.41
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-05,108.25,99.65
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-06,106.29,108.19
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-07,116.94,127.17
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-08,119.2,147.68
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-09,108.16,117.31
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-10,106.35,105.78
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-11,108.08,114.86
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-12,109.08,119.89
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-13,114.66,115.73
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-14,131.63,152.32
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-15,140.72,199.39
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-16,117.03,129.89
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-17,112.93,126.73
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-18,114.52,127.08
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-19,141.85,124.72
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-20,120.73,127.34
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-21,132.11,139.48
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-22,122.66,165.47
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-23,91.62,116.56
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-24,76.99,79.49
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-25,76.48,77.48
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-26,75.22,69.46
city,Bergamo,<undefined>,Lombardy Region,Italy,2020-02-27,77.17,76.69
