geo_type,name,alternative_name,region,country,date,driving,walking,transit
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-13,100,100,100
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-14,102.63,102.1,100.82
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-15,105.41,104.86,100.4
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-16,106.18,107.32,99.52
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-17,114.69,122.71,107.35
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-18,127.45,142.38,113.33
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-19,110.65,109.49,108.25
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-20,102.59,99.19,102.14
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-21,103.94,102.26,99.04
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-22,106.67,105.19,100.05
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-23,107.02,109.44,102.72
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-24,119.01,126.34,107.54
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-25,126.85,150.68,116.79
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-26,109.51,111.59,110.36
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-27,99.61,101.22,101.6
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-28,102.59,104.22,101.95
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-29,104.68,109.74,102.49
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-30,105.67,110.64,100.8
country/region,Italy,Italia,<undefined>,<undefined>,2020-01-31,114.35,127.71,101.93
country/region,Italy,Italia,<undefined>,<undefined>,2020-02-01,125.55,149.16,107.43
country/region,Italy,Italia,<undefined>,<undefined>,2020-02-02,111.41,118.22,106.2
country/region,Italy,Italia,<undefined>,<undefined>,2020-02-03,100.52,108.19,98.79
country/region,Italy,Italia,<undefined>,<undefined>,2020-02-04,101.89,108.79,99.71
country/region,Italy,Italia,<undefined>,<undefined>,2020-02-05,103.77,108.09,98.91
