geo_type,name,alternative_name,region,country,date,driving,walking
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-13,100,100
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-14,96.57,107.12
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-15,97.5,109.09
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-16,101.5,114.8
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-17,108.85,106.35
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-18,120.68,143.33
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-19,118.97,101.84
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-20,99.8,110.42
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-21,98.67,103.94
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-22,93.8,104.57
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-23,96.93,117.66
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-24,111.24,125.29
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-25,117.81,136.47
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-26,116.08,97.71
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-27,93.54,106.99
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-28,93.75,108.64
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-29,94,111.69
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-30,99.62,112.39
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-01-31,110.72,120.46
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-01,120.77,144.28
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-02,118.55,110.86
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-03,92.91,102.8
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-04,91.99,93.9
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-05,88.41,91.74
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-06,95.02,110.04
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-07,110.58,123
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-08,122.7,146.7
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-09,124.76,112.58
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-10,95.87,101.78
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-11,100.08,121.86
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-12,101.71,108.83
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-13,102.49,127.06
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-14,130.51,160.23
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-15,137.5,158.89
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-16,143.24,127.7
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-17,100.85,111.44
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-18,97.69,111.56
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-19,101.38,108.7
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-20,102.71,123.32
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-21,117.78,129.99
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-22,132.4,148.6
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-23,118.93,110.48
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-24,102.25,125.92
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-25,96.57,109.28
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-26,90.53,100.83
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-27,87.58,104.89
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-28,102.8,122.17
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-02-29,113.88,137.8
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-01,107.84,87.93
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-02,83.74,98.79
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-03,84.43,96.06
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-04,86.22,103.88
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-05,83.71,93.84
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-06,87.89,104.64
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-07,85.78,99.24
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-08,72.47,63.47
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-09,59.88,72.24
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-10,35.08,43.77
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-11,29.01,43.2
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-12,24.73,34.37
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-13,21.9,33.04
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-14,18.34,29.8
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-15,16.44,24.33
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-16,20.48,30.56
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-17,19.95,28.65
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-18,21.15,30.75
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-19,22.69,39.33
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-20,22.17,45.24
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-21,19.7,32.59
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-22,14.97,25.6
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-23,20.31,27.64
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-24,19.55,30.11
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-25,20.16,27.38
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-26,19.19,26.37
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-27,20.82,31.7
sub-region,Abruzzo Region,Abruzzo,<undefined>,Italy,2020-03-28,17.47,26.3
