country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-15,3,-1,35,9,0,-1
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-16,3,2,26,11,1,-2
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-17,0,1,7,3,1,0
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-18,3,1,16,4,1,0
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-19,0,-1,11,3,1,0
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-20,2,1,18,5,1,0
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-21,1,1,19,5,0,-1
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-22,-1,3,30,8,0,-1
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-23,-5,16,23,6,1,0
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-24,-4,23,22,-15,-14,4
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-25,-6,5,20,-18,-15,5
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-26,-13,-5,-6,-23,-12,6
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-27,-10,-3,-1,-22,-12,6
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-28,-8,-2,11,-20,-12,5
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-02-29,-10,-2,2,-16,-9,3
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-01,-19,-5,-30,-26,-5,4
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-02,-13,-7,-26,-25,-9,5
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-03,-7,-1,-9,-21,-8,4
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-04,-7,1,8,-19,-8,4
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-05,-12,0,-12,-28,-16,7
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-06,-15,0,-8,-29,-17,8
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-07,-19,1,2,-24,-15,6
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-08,-32,3,1,-27,-10,6
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-09,-30,-1,-24,-42,-24,11
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-10,-43,-2,-32,-51,-31,16
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-11,-52,-14,-32,-57,-37,19
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-12,-70,-23,-61,-67,-47,24
IT,Italy,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,ChIJA9KNRIL-1BIRb15jJFz1LOI,2020-03-13,-75,-28,-64,-71,-53,28
