Comparison,a,b,c,d,x0,model,approximation
walking vs driving,-9.41826655482378,0.907953835626407,-30.5531521717435,1.05053692082739,77.360180660521,disjoint,(piecewise)
walking vs retail,-13.5556174849141,0.978183098697541,0,0.234119470415791,-13.4300000000219,piecewise,
walking vs groc_and_pharm,5.37879770669737,0.828746680235974,0,0.161316575026601,0,piecewise_fsp,
walking vs parks,3.23955442577437,0.950713722806595,-46.3296168509714,1.16197153451323,71.5825454656224,disjoint,
walking vs transit stations,-25.9440291667308,0.700838070659364,-18.3615925328669,0.367789941686618,61.6110353570695,disjoint,
walking vs workplaces,10.9176950150078,1.0397590831003,0,0.0184775138080832,-32.3964036183687,piecewise,
walking vs residential,8.64370131855887,-0.192333374964217,0,-0.0118688609067703,32.8506198704623,piecewise,
driving vs retail,-14.5331360723619,0.893219115386281,5.37879770669737,0.204888084172719,0,piecewise_fsp,
driving vs groc_and_pharm,25.199438133509,1.07059692803851,-11.8828174856834,0.148099536036851,-18.5475130047826,piecewise,
driving vs parks,6.66728491057277,0.839364160882569,35.0979738125955,0.936167474122078,94.9800000018403,disjoint,
driving vs transit stations,-13.309749540117,0.883124467982267,-22.1681549117837,0.355743054030141,6.68704599564955,piecewise,
driving vs workplaces,-17.4303058186584,0.554076570636845,2.71533016714997,0.00556367448818183,0,piecewise_fsp,
driving vs residential,4.90084612733132,-0.25436640361744,-14.5331360723619,-0.0143753618252378,8.08686679245848,piecewise,
retail vs groc_and_pharm,34.8140683020613,1.09899742636213,19.2117591218692,0.753841758654672,-20.0240231673376,disjoint,
retail vs parks,43.7877946565325,1.36534018558667,63.904663302414,5.16481477197646,0,disjoint_fsp,
retail vs transit stations,10.2222305218713,1.11786289097028,25.2709575376735,1.39325895763298,10.0053739634994,disjoint,
retail vs workplaces,-9.266411935079,0.593312806293543,2.71533016714997,-0.0560468368143021,-9.1736719755142,piecewise,
retail vs residential,0.988118438125141,-0.27223681589097,-14.5331360723619,-0.0209746699524619,3.74258159816935,piecewise,
groc_and_pharm vs parks,23.7035683308423,1.48887598183079,-90.5736164226181,6.22105629849156,34.0927051551174,disjoint,
groc_and_pharm vs transit stations,-29.8332187496768,0.749562966992885,-22.1681549117837,1.66969551131107,-11.5176649520946,piecewise,(piecewise_fsp)
groc_and_pharm vs workplaces,-25.7553721464143,0.546756416324033,-18.878525799874,-0.0118601090880977,-7.0009663539403,disjoint,
groc_and_pharm vs residential,9.3622754994875,-0.218768397069119,5.06202252906302,-0.0792297011983034,-6.00023665809659,disjoint,
parks vs transit stations,-22.8253335517968,0.767996674603405,-22.1681549117837,0.291848267107261,38.9233493085287,piecewise,
parks vs workplaces,-22.3507561956513,0.50463049936247,2.71533016714997,-0.00321953412250405,9.36541086999275,piecewise,
parks vs residential,8.27785161371026,-0.211524706642315,-14.5331360723619,-0.0105037549519145,28.9059732295743,piecewise,
transit stations vs workplaces,-10.0766084719735,0.61175024215339,2.71533016714997,0.0347240078229543,-12.4213380998795,piecewise,
transit stations vs residential,1.98406999779425,-0.26719992864764,-14.5331360723619,-0.0354076440941719,0,piecewise_fsp,
workplaces vs residential,-4.90288114844034,-0.447596729035073,-0.705194996908236,-0.191748010363817,-26.0025468266472,disjoint,
