Comparison,a,b,c,d,x0,model,approximation
walking vs driving,2.63433345086984,1.01826810257876,26.546968923739,0.458461925704362,29.7682282100139,disjoint,(piecewise)
walking vs retail,-5.8589125792525,0.99445717564849,0,0.0866659586922937,-6.80510085529364,piecewise,
walking vs groc_and_pharm,30.0696572601,1.02526474553121,0,0.0726436250987757,-30.3999781792345,piecewise,
walking vs parks,37.1624646212993,1.40619159607459,0,0.229399199051677,0,piecewise_fsp,
walking vs transit stations,-21.248224865312,0.714395167712044,0,0.112227260225017,-4.91233200825829,piecewise,
walking vs workplaces,9.05168918605102,0.922533208402674,0,0.0185301690174531,-28.6341576828448,piecewise,
walking vs residential,0.648149797462206,-0.363587085586648,0,-0.0356682447765637,-10.7925409457292,piecewise,
driving vs retail,-8.90529618624149,0.961996709280484,1.10999598587615,0.0566044986602957,0,piecewise_fsp,
driving vs groc_and_pharm,26.6635717482049,0.971433767156492,37.1624646212993,0.0155663666673003,-23.5956834250068,piecewise,
driving vs parks,14.3086807494772,0.941128281557344,-24.2062735516065,-0.111799613998728,61.5899999589505,piecewise,
driving vs transit stations,-22.7723791723413,0.699278139307798,-25.0754909603025,0.151826461945537,5.4219180899108,disjoint,
driving vs workplaces,5.84807416511817,0.87280746350003,4.1872273137811,0.0365377360169833,-27.8129156862161,piecewise,
driving vs residential,-0.341848967751978,-0.38432938458676,-8.90529618624149,-0.0781651845060056,-21.267890175657,piecewise,
retail vs groc_and_pharm,-66.5681733969168,0.277319977000828,11.6854079010341,0.610973016742124,-91.0000000000199,disjoint,
retail vs parks,57.9936504304918,1.53610377424624,63.9624031196903,2.36381534106351,-29.3779423214826,disjoint,
retail vs transit stations,-15.8386795760011,0.72097076133651,-14.8259592484186,0.387126630932476,-20.121543310117,disjoint,
retail vs workplaces,6.59266519644792,0.781380081800385,4.1872273137811,0.0280635139631952,-29.113759860759,piecewise,
retail vs residential,28.4222171997982,-0.0200722292053215,0.773175067523876,-0.270822530972797,-74.0002151694505,disjoint,
groc_and_pharm vs parks,-49.3272152102429,0.129177835225384,30.3268933910144,0.606465572324879,-27.083194532192,disjoint,
groc_and_pharm vs transit stations,-52.5064889245795,0.324586279526374,-26.1349201534475,0.349266218653508,-22.6582134716267,disjoint,
groc_and_pharm vs workplaces,-33.501092127366,0.420048804297492,-18.2166323711323,0.184104132389768,-23.0012144890223,disjoint,
groc_and_pharm vs residential,23.4395441097503,-0.0309499290788094,5.62873323753572,-0.118050768773821,-27.0005645496052,disjoint,
parks vs transit stations,-35.1516997431955,0.535301303342581,-16.8336763894763,-0.0745629322257186,39.5930076934932,piecewise,
parks vs workplaces,-22.2069330647332,0.408952791533812,4.1872273137811,-0.450342843918729,43.9999999911237,piecewise,
parks vs residential,9.93928348773723,-0.223044882077076,-8.90529618624149,0.0762398424337364,50.350477255675,piecewise,
transit stations vs workplaces,20.6914040504781,1.04644844065454,-3.31130461022234,0.654537847986805,-34.0170889936944,disjoint,
transit stations vs residential,23.1260830506518,-0.0923908613893734,-4.14125171237797,-0.361772704461878,-67.0168782870542,disjoint,
workplaces vs residential,19.5456096793192,-0.148148520291268,-0.523516441244477,-0.332974996457791,-55.7034267876008,disjoint,
