Comparison,a,b,c,d,x0,model,approximation
walking vs driving,-3.91545438137927,0.989548790282571,7.93635450275134,0.668001861887357,13.2547936844466,disjoint,
walking vs retail,-25.9618179237682,0.873651747567888,0,0.0870763539654348,13.5871526034511,piecewise,
walking vs groc_and_pharm,0.707517741541975,0.730038570853454,-2.39620456689991,0.0711164721703527,-22.1840025854843,disjoint,(piecewise_fsp)
walking vs parks,11.8989862221967,1.29736963481764,1.8040143597857,0.756168084352602,14.6712348666305,disjoint,(disjoint_fsp)
walking vs transit stations,-19.2566155496697,0.81180587737076,0,0.143649368995911,0,piecewise_fsp,
walking vs workplaces,-18.1177712358813,0.584512765440595,0,-0.0568482656809092,8.86999999974709,piecewise,
walking vs residential,7.94335864472762,-0.305321709169422,0,-0.0283079122664254,10.8088133232207,piecewise,
driving vs retail,-20.2329054287326,0.937162545425084,-13.9100117992767,0.0976204614332143,6.90919979602317,piecewise,
driving vs groc_and_pharm,11.5343807429249,0.867280361525083,-1.02268780691413,0.0609958136200558,-30.3193916747062,disjoint,(piecewise)
driving vs parks,5.12347223004235,0.951677363242915,99.9999991940709,0.296570987265155,98.5900009328268,disjoint,
driving vs transit stations,-12.276492717375,0.871937400037944,-12.4288988899957,0.202571171796981,-12.1461528484212,piecewise,
driving vs workplaces,-10.0205068508684,0.697096176635503,4.94916822604656,-0.0215290495465967,-9.33707490417664,piecewise,
driving vs residential,6.01144618153209,-0.320708656175882,-14.4323414332631,-0.0517730535876269,0,piecewise_fsp,
retail vs groc_and_pharm,99.9999459861098,2.00450300003936,10.0069359141216,0.560200022779217,-89.0016403706482,disjoint,
retail vs parks,60.1024964512827,1.52697328746337,92.3801280832757,3.69821321140747,-28.0331428013696,disjoint,(piecewise)
retail vs transit stations,2.13002592900579,0.845106894383789,-5.07223397182486,0.553725948064442,-7.00409893617273,disjoint,
retail vs workplaces,-3.17486519863867,0.60672026708782,-20.8855883897906,-0.588373172518556,-11.0147821431961,disjoint,(piecewise)
retail vs residential,-0.445305381224186,-0.322542605013474,2.3711706411574,0.0211918522961254,-15.0231079460395,disjoint,
groc_and_pharm vs parks,33.7044982370314,1.29673760094318,99.9999999997836,-1.69692401178043,11.0281254780575,disjoint,
groc_and_pharm vs transit stations,-37.7707365770765,0.400070638897655,-14.9719865874029,0.352580535180227,-17.146155965995,disjoint,
groc_and_pharm vs workplaces,-39.8203114279505,0.232010580457434,-20.1537188304792,0.0449548823330881,-26.0240654767187,disjoint,
groc_and_pharm vs residential,21.5989863900872,-0.0345167252510537,6.14275396807476,-0.121189939051117,-26.1875693522614,disjoint,
parks vs transit stations,-21.3232791306879,0.650513496544221,-12.4288988899957,0.12227253857717,8.58589861382169,piecewise,
parks vs workplaces,-21.6271301930792,0.41050349936327,4.94916822604656,-0.138646980821049,28.0087260708523,piecewise,
parks vs residential,9.68196503013153,-0.219487358320347,-14.4323414332631,-0.00672223586199734,35.2560628225806,piecewise,
transit stations vs workplaces,-0.889758934878695,0.808028587823969,4.94916822604656,0.225826591474373,-23.8327441541793,piecewise,
transit stations vs residential,-1.90329586334997,-0.424558237624596,-14.4323414332631,-0.202365071462976,-13.6114374813577,piecewise,
workplaces vs residential,13.7869543777665,-0.225203833122245,-1.11938467437647,-0.36204172256389,-51.0012170216435,disjoint,
