Comparison,a,b,c,d,x0,model,approximation
walking vs driving,68.3197856226707,1.650115954624,17.4609553122626,0.438903039397193,-41.9900000000284,piecewise,
walking vs retail,74.0388028464425,1.72768456224642,0,0.150090234589178,-55.5781347067151,piecewise,
walking vs groc_and_pharm,99.9999999691938,1.64459515580592,2.17845415218525,0.133097162468033,-71.9218247017567,disjoint,
walking vs parks,74.8490327480359,1.65217347176844,0,0.0886025504465001,-39.8000000008411,piecewise,
walking vs transit stations,23.3396291829132,1.1447873210782,0,0.173636732681547,-55.6222637240843,piecewise,
walking vs workplaces,26.9505496074386,0.976140794453962,-22.8092497089267,0.115241566213401,-37.7828662162417,disjoint,
walking vs residential,-19.2025984460692,-0.520294475107177,2.82556030041674,-0.0204161248998283,-38.8449136567088,disjoint,(piecewise)
driving vs retail,-0.304162832184375,0.994667286957348,-8.70969374471075,0.305468285100636,-26.234603754402,piecewise,
driving vs groc_and_pharm,20.427833426919,0.811787934965714,-3.17804192603503,0.288314683536549,-19.054233330728,disjoint,
driving vs parks,4.62823146535881,0.957505214827887,13.1461900193818,0.069301893683389,-6.51340182191434,disjoint,
driving vs transit stations,-27.7911990882827,0.624642151604743,-36.694856084243,0.335590664269436,-8.03531722978812,disjoint,(piecewise)
driving vs workplaces,31.8133275032434,1.16919861410373,0.215132906593318,0.184540122941792,-57.3255786846032,piecewise,
driving vs residential,2.8210995136448,-0.301848403521435,-18.3850255538246,-0.0283116874128701,0,piecewise_fsp,
retail vs groc_and_pharm,-46.3490112741799,0.41569947508657,12.1131525741077,0.659229467809454,-90.0000000003888,disjoint,
retail vs parks,23.8756599194774,1.21083894614911,-13.7368472876517,0.68421037068508,6.83100681968208,disjoint,(piecewise)
retail vs transit stations,-22.5676760435227,0.688656986907134,-12.6572400798816,-0.662709051106463,0,disjoint_fsp,
retail vs workplaces,7.16454812402445,0.848281265213299,0.215132906593318,0.166636681979972,-40.3983393433987,piecewise,
retail vs residential,31.0810887274647,0.0193446196645334,0.757890901948015,-0.263247823243732,-74.0006095087285,disjoint,
groc_and_pharm vs parks,-36.3631370653699,0.56676213623241,1.14736617224081,0.271969551977371,-21.0001914350646,disjoint,
groc_and_pharm vs transit stations,-67.8077041590643,0.189966697123482,-35.6231575900436,0.500542108614154,-29.0014263546557,disjoint,
groc_and_pharm vs workplaces,-48.4581293164235,0.249841128103441,-24.2920457500635,0.121979594590437,-29.0008133754227,disjoint,
groc_and_pharm vs residential,27.2092423750489,0.0202811204129979,5.96312359469737,-0.0756469293701116,-29.0062998142102,disjoint,
parks vs transit stations,-28.0021327987901,0.634409848593449,-5.57669075884025,-0.0143325571090965,-2.87330726505372,piecewise,(piecewise_fsp)
parks vs workplaces,-14.9276217697064,0.569822053429089,0.215132906593318,-0.346277292147702,0,piecewise_fsp,
parks vs residential,3.48104820732824,-0.299569381965741,-18.3850255538246,-0.0586771874317033,0,piecewise_fsp,
transit stations vs workplaces,41.4450154146886,1.32605220985432,4.9826134256645,0.827392678185589,-56.0000677256086,disjoint,
transit stations vs residential,-15.0751228503224,-0.54252735747566,-1.45967206871931,-0.130363143459246,-36.0048263814285,disjoint,(piecewise)
workplaces vs residential,11.1491765473316,-0.259546817288801,-0.841838937975219,-0.285289991441617,-59.0048316173353,disjoint,
