Comparison,a,b,c,d,x0,model,approximation
walking vs driving,39.6378376553325,1.43264287683405,19.066001240899,0.46311151624668,-26.520097598471,disjoint,(piecewise)
walking vs retail,14.8214202913059,1.17096499687561,0,0.143593289697876,-32.8099181110868,piecewise,
walking vs groc_and_pharm,47.117922898512,1.15017562152363,0,0.172640430507711,-51.2087674476449,piecewise,
walking vs parks,89.9728813808523,1.9641569551601,31.7621135551593,0.0141122499796219,-39.1843223524806,disjoint,
walking vs transit stations,-8.3177856120783,0.858776931978707,0,0.184528178570742,-34.4370986395524,piecewise,
walking vs workplaces,34.2909698110198,1.19500656468358,0,0.110742826061904,-53.5999999485187,piecewise,
walking vs residential,-9.95099168439655,-0.478093841176803,0,-0.0387222239055114,-34.3599999989809,piecewise,
driving vs retail,-12.4461047835936,0.899106633280357,-23.6916265169943,0.273102615776471,-25.1821164236836,disjoint,
driving vs groc_and_pharm,13.8658420521722,0.772237018958174,-10.0672444565446,0.326942326821473,-12.6020390439182,disjoint,
driving vs parks,31.5371859761293,1.26748168982364,41.3198306994074,-0.148041821918451,0,disjoint_fsp,(piecewise_fsp)
driving vs transit stations,-26.2459166553874,0.680545649670101,-37.7756656860386,0.339209538365301,-16.8926929611887,disjoint,(piecewise)
driving vs workplaces,1.735870035183,0.866302093488809,-26.5166186729856,0.187924105277085,-67.5802211174206,disjoint,
driving vs residential,1.18270464370235,-0.36151639799464,-28.2102108340701,-0.107428967271671,-23.9199855144156,piecewise,
retail vs groc_and_pharm,35.223283935272,1.03104976455038,15.5852468872342,0.920453031322791,-38.0987055378096,disjoint,
retail vs parks,63.8505328795816,1.58560790756473,-31.5369564407836,0.00138739570302049,-17.3726788039335,piecewise,
retail vs transit stations,-17.4566040022773,0.735359688550038,8.50001946820853,-6.40000485652401,0,disjoint_fsp,
retail vs workplaces,-20.5451164179649,0.550936724451872,-16.6215280887906,0.345973225782188,-76.0000840580831,disjoint,
retail vs residential,44.2693578075301,0.145596203525791,0.689855935916823,-0.271488666507177,-76.0307989388299,disjoint,
groc_and_pharm vs parks,-10.1417471848873,0.855022866427784,21.8987797073933,0.164644896231697,-26.2181809763277,disjoint,
groc_and_pharm vs transit stations,-32.3205948760041,0.755203429987879,-23.9136369845617,-0.26414139471945,18.1259710715854,disjoint,(piecewise)
groc_and_pharm vs workplaces,-53.3145756436555,0.178208791828524,-24.4498739004261,0.239842785069709,-36.1804045983981,disjoint,
groc_and_pharm vs residential,32.9950429939875,0.0970785363015254,7.18826437154377,-0.135438597310174,-36.0260629935128,disjoint,
parks vs transit stations,-31.7094262937862,0.630441496479314,-23.825566523283,0.0104467262447223,0,piecewise_fsp,
parks vs workplaces,-16.2430469318589,0.595269265503697,5.14581708459725,-0.192603561715081,0,piecewise_fsp,
parks vs residential,6.42891976934096,-0.295512978137776,-28.2102108340701,-0.0319006697862836,0,piecewise_fsp,
transit stations vs workplaces,40.5011472608164,1.31684221691214,1.67058761819324,0.769481154076862,-54.0022402058036,disjoint,
transit stations vs residential,-14.308316491686,-0.552173525237859,-28.2102108340701,-0.18106834532967,-34.6579553133732,piecewise,
workplaces vs residential,2.29332329767143,-0.392715297776957,-0.700029867326478,-0.338435214580052,-63.0000211032083,disjoint,
