Comparison,a,b,c,d,x0,model,approximation
walking vs driving,-8.53532453863196,0.976908605105997,4.58658891948055,0.821178464016667,13.3216433914615,disjoint,
walking vs retail,-23.0641028448683,0.915785681321478,0,0.135396848079085,10.2600000000007,piecewise,
walking vs groc_and_pharm,4.74018877266793,0.871350792570028,0,0.0377708996859038,0,piecewise_fsp,
walking vs parks,-18.7799786064426,0.916045856240012,4.34731453013315,0.876444822118045,0,disjoint_fsp,
walking vs transit stations,-22.7829914909432,0.762071282825702,-18.5590384102099,0.178713208312264,17.7101099217054,disjoint,(piecewise)
walking vs workplaces,-15.1915091463129,0.704040519573909,0,-0.0168949192694946,6.17000000002797,piecewise,(piecewise_fsp)
walking vs residential,7.59021185598592,-0.332060458959039,0,-0.0225120596980313,13.4688202336309,piecewise,
driving vs retail,-13.1950300105715,0.956594764975745,4.74018877266793,0.134736756412927,0,piecewise_fsp,
driving vs groc_and_pharm,17.7695823468881,0.936217235316837,-18.7799786064426,0.0353904071907161,-14.9410653392465,piecewise,
driving vs parks,5.72415861621437,0.913535572652496,63.0414244082005,0.660358059378447,82.0303136079762,disjoint,
driving vs transit stations,-13.3128342278492,0.827396312522005,-10.7433374886289,0.220154033213899,-10.2700000006523,piecewise,
driving vs workplaces,-3.75452772344147,0.805399437953051,3.4209601127312,0.0166676109691865,-13.5199999804575,piecewise,
driving vs residential,3.16183742034536,-0.365955667675474,-13.1950300105715,-0.0338356224150596,-3.47199023624671,piecewise,
retail vs groc_and_pharm,56.0264351000771,1.33264119311968,9.84548705152348,0.494825844562446,-46.7926242969896,disjoint,(piecewise)
retail vs parks,52.2218362125273,1.54674607317836,-12.4516558675958,6.49600174823622,-6.41635068333985,piecewise,
retail vs transit stations,1.65031656538759,0.90652093116238,-6.09940266532106,0.82041470204324,0,disjoint_fsp,
retail vs workplaces,-2.00989434360101,0.674508504123981,3.4209601127312,-0.653931862636648,-4.67213396018323,piecewise,(piecewise_fsp)
retail vs residential,-0.941049147202636,-0.354491774947019,-13.1950300105715,0.0661949058957336,0,piecewise_fsp,
groc_and_pharm vs parks,52.6243856233547,2.13978721077383,-3.61823411850774,0.680020376487513,41.121823054665,disjoint,
groc_and_pharm vs transit stations,-43.5015313542931,0.371748320079625,-12.7466719175829,0.487679643885957,-28.0777985574711,disjoint,
groc_and_pharm vs workplaces,-14.0311139973588,0.727200681128815,3.4209601127312,-0.613879701910246,8.30389219656998,piecewise,
groc_and_pharm vs residential,20.7684905982178,-0.0836769921137601,5.25892949507213,-0.137994515131195,-28.2116369195546,disjoint,
parks vs transit stations,-26.3661361065933,0.567761324398646,-10.7433374886289,0.110501089619137,40.0638355758385,piecewise,
parks vs workplaces,-11.8616822209208,0.617581409858124,3.4209601127312,-0.0282894355789226,0,piecewise_fsp,
parks vs residential,9.09400741132557,-0.237307451452429,-13.1950300105715,-0.00931467738379355,33.4028012012308,piecewise,
transit stations vs workplaces,1.72897824745236,0.845457153418739,-14.264831649944,0.411121049257671,-10.0114066696616,disjoint,
transit stations vs residential,-2.87805027113881,-0.440226316580104,-13.1950300105715,-0.138444227388832,-12.4656027599413,piecewise,
workplaces vs residential,-1.71223336459628,-0.431789497581967,-0.336265383828151,-0.197075142492722,-16.01850117233,disjoint,
