Comparison,a,b,c,d,x0,model,approximation
walking vs driving,10.5631949293109,1.2189837336368,24.6139049850899,0.303620269305303,21.2799639153447,disjoint,
walking vs retail,-17.2550416139345,0.881518404668891,0,0.0675629652120785,0,piecewise_fsp,
walking vs groc_and_pharm,10.710211569048,0.830390433597578,-5.61152161801379,0.123735912486405,-33.4232311045866,disjoint,(piecewise)
walking vs parks,19.090029084772,1.18722581429898,0,-0.113380548510632,17.2328368816224,piecewise,
walking vs transit stations,-24.7076071777024,0.701930713331219,-27.7713909732772,0.0784065414373681,-11.0983082241065,disjoint,(piecewise)
walking vs workplaces,-10.8353108170778,0.665353108817485,-25.0540437840115,0.0729043840578629,-4.54733385706306,disjoint,
walking vs residential,3.95304681884826,-0.331907624909463,0,-0.0157398890787948,0,piecewise_fsp,
driving vs retail,-18.4318492132381,0.845447695429738,-20.7815008560032,0.166178009405461,-12.1024166450597,disjoint,
driving vs groc_and_pharm,23.1066934397554,0.979238736474662,41.5031663822701,0.12131951973865,-32.5299999242874,piecewise,
driving vs parks,10.3546270612071,1.0044743727473,38.4460001273057,-0.0583127266270812,17.1137115686227,disjoint,(piecewise)
driving vs transit stations,-28.6946394756675,0.609684798033234,-33.1094263045617,0.228634915416835,17.0617950372693,disjoint,
driving vs workplaces,-37.3600364715739,0.346653306513119,-25.9386918836433,0.140795892479996,-64.3934429698581,disjoint,
driving vs residential,36.6593840493632,0.0868908426538864,8.82543969648529,-0.140602869841966,-64.6996332259755,disjoint,
retail vs groc_and_pharm,22.1987889870826,0.874443407015719,18.5070070549874,1.39334590665552,-23.0009289016822,disjoint,
retail vs parks,49.1549570942411,1.40026198534065,28.9181779051834,-4.30860932637272,-5.00000130415549,disjoint,(piecewise)
retail vs transit stations,-14.2862288644863,0.712867240133153,4.57204708336459,-3.73763552643758,0,disjoint_fsp,
retail vs workplaces,-16.6604238954638,0.546210102271378,-17.5914297595739,0.251844679648793,-72.000138406665,disjoint,
retail vs residential,26.4278827810533,-0.0332067572268964,0.05986988498103,-0.278662957372915,-74.8358162301773,disjoint,
groc_and_pharm vs parks,-43.5193006486286,0.268706943732052,18.7889758091811,0.455406167670287,-30.0050167185902,disjoint,
groc_and_pharm vs transit stations,-56.1748665427424,0.273332298541326,-28.8717608840572,0.316991479367559,-30.1179716785464,disjoint,
groc_and_pharm vs workplaces,-34.1482037145263,0.399411526925556,-22.9664713197866,0.0962285696888567,-30.0383749826473,disjoint,
groc_and_pharm vs residential,22.2890697807809,-0.039790824496681,6.05856807013455,-0.0966170292883161,-30.0399427709838,disjoint,
parks vs transit stations,-29.8794288758052,0.617414715019433,-13.5293729617511,-0.115566227613971,14.5885421808557,piecewise,
parks vs workplaces,-19.0684553010308,0.509177100683139,3.95304681884826,-0.385983657450606,14.317311037085,piecewise,
parks vs residential,7.00314737334354,-0.278560081072282,-26.6526539678628,-0.00484940065048533,13.4470397364354,piecewise,
transit stations vs workplaces,29.5145352165713,1.19761877530768,1.9185229007778,0.87547329450954,-48.0212048517203,disjoint,
transit stations vs residential,-10.1437890984839,-0.510212334417846,-26.6526539678628,-0.256378694054736,-27.9999999143755,piecewise,
workplaces vs residential,8.13942583575839,-0.298910342988462,-0.895656399795006,-0.323384054622604,-58.0453505266067,disjoint,
