Comparison,a,b,c,d,x0,model,approximation
walking vs driving,-8.11360651488356,0.998775522348415,-9.81719114312832,0.781509260813877,65.9800527387541,disjoint,
walking vs retail,-24.9637298899449,0.782164014058718,0,0.0832091063972342,20.3978809208992,piecewise,
walking vs groc_and_pharm,6.75634115877595,0.853836311268237,0,0.0493575628886477,0,piecewise_fsp,
walking vs parks,1.76213745280135,1.03206507697642,-3.38640013714035,0.587332785372804,65.9907855614247,disjoint,
walking vs transit stations,-38.4654574754049,0.560560721415408,0,0.103482639232988,60.0084603595234,piecewise,
walking vs workplaces,-23.2067000090192,0.481481342674721,0,-0.0174096841666928,20.8276100745054,piecewise,
walking vs residential,7.93119487268043,-0.238796850660296,0,-0.012722639971458,27.2899999769426,piecewise,
driving vs retail,-16.9522149375037,0.811120892973928,6.75634115877595,0.0948750668324146,12.238946743969,piecewise,
driving vs groc_and_pharm,16.2331755633958,0.87724745395829,31.1103707402569,0.0461456628130086,-8.76293345866907,piecewise,
driving vs parks,0.370282382596289,0.779856730366348,46.5953057164296,0.61564422179166,95.3028445093952,disjoint,
driving vs transit stations,-31.2881127296288,0.619338054821029,-12.8159922322966,0.127523096055034,43.8092960209469,piecewise,
driving vs workplaces,-16.9296054392609,0.532791023372312,1.76162966819473,-0.0177738526826428,5.82480395305273,piecewise,(piecewise_fsp)
driving vs residential,5.19694784061272,-0.257344393593247,-8.18612041576765,-0.0198858051631658,12.8569930566405,piecewise,
retail vs groc_and_pharm,51.385956060542,1.31831489541168,14.074846741424,0.576842058639274,-39.5953281824462,disjoint,
retail vs parks,49.7884129736034,1.55812035358089,-11.0369054995541,6.1777746412216,-3.76624522569223,piecewise,
retail vs transit stations,-15.8157573124992,0.789364309488186,1.69130390798661,0.788004079807638,-14.0158945615749,disjoint,
retail vs workplaces,-8.53492923214899,0.595721439288156,1.76162966819473,-0.423033889049731,-2.99999999969623,piecewise,
retail vs residential,-0.612888352651725,-0.315113286683806,-8.18612041576765,0.000880510280980198,4.93384540188995,piecewise,
groc_and_pharm vs parks,41.4398930526749,1.81430361324139,99.9999999967807,2.35743101469532,32.4140940125101,disjoint,
groc_and_pharm vs transit stations,-59.5940798541217,0.270457152329529,-12.8159922322966,1.14166693995573,-42.2328502669852,piecewise,
groc_and_pharm vs workplaces,-30.2513140227145,0.451406123078143,-19.5193032884602,0.0247944599928181,-19.021222632316,disjoint,
groc_and_pharm vs residential,15.4146820683486,-0.121492278766752,4.65077020573919,-0.149311615718571,-23.0051818948215,disjoint,
parks vs transit stations,-28.7661346631973,0.674459689348092,-17.6876696762346,0.1785287397927,3.02061644331861,disjoint,(piecewise)
parks vs workplaces,-16.2455082309948,0.55275851024999,1.76162966819473,-0.0139842962960576,0,piecewise_fsp,
parks vs residential,6.22730754579795,-0.244583407846718,-8.18612041576765,-0.0274482000387828,15.3875219878066,piecewise,
transit stations vs workplaces,18.1415968343843,0.986129182004242,1.76162966819473,0.164761231985803,-42.5371513146486,piecewise,
transit stations vs residential,-7.673734499958,-0.40792015202575,-8.18612041576765,-0.0986572608529798,-24.7635671818454,piecewise,
workplaces vs residential,-7.39670900903658,-0.498076720863229,-2.43972671225324,-0.39437671494382,-12.0375533904932,disjoint,
