Comparison,a,b,c,d,x0,model,approximation
walking vs driving,1.11823178124551,0.956275963065687,15.9840095468277,0.930702405173919,98.3300000776881,disjoint,
walking vs retail,-19.5131036291979,0.868802905294148,0,0.0755095899614774,13.4981043530574,piecewise,
walking vs groc_and_pharm,10.3497153101429,0.898717428707626,0,0.0771507562318885,0,piecewise_fsp,
walking vs parks,4.8598553068981,0.757431665308407,51.2347111466509,0.610016133332782,96.6300005745285,disjoint,
walking vs transit stations,-23.6721745593556,0.653087343448906,0,0.102103061225015,22.1695818135397,piecewise,
walking vs workplaces,-17.0912580866556,0.528749386280572,0,-0.00526281244723389,10.9136666647226,piecewise,
walking vs residential,5.64843790096346,-0.237156477880817,0,-0.00695608073290157,12.5576878343174,piecewise,
driving vs retail,-21.0606020973488,0.832092622797501,10.3497153101429,0.0764663956794846,16.0021762583655,piecewise,
driving vs groc_and_pharm,10.0512674763075,0.851949400517955,19.1046182463972,0.0741364263883263,0,piecewise_fsp,
driving vs parks,1.97866591406174,0.795410150912743,45.7721419843949,0.651866922900792,97.8700000556039,disjoint,
driving vs transit stations,-23.6164458420713,0.664076475061507,-11.2632269548448,0.107892220845274,19.2104932303105,piecewise,
driving vs workplaces,-17.4401599033692,0.537815612789091,2.75765317424404,-0.00561272645192762,11.5071104142764,piecewise,
driving vs residential,5.73319049823508,-0.244524616359334,-8.96893802556255,-0.00850345811456165,11.3487307947569,piecewise,
retail vs groc_and_pharm,-20.5387500336479,0.759406337355778,21.7200679317141,0.826774987416135,-88.1235693516661,disjoint,
retail vs parks,54.4015854383032,1.51469404572951,88.1014134999165,8.51399573181767,0,disjoint_fsp,
retail vs transit stations,-9.1084706752456,0.739361845156824,1.38461314848931,1.1241664345167,-13.004446059173,disjoint,
retail vs workplaces,-7.70120889022195,0.554342695445751,2.75765317424404,-0.234014054654661,0,piecewise_fsp,
retail vs residential,0.943367028146903,-0.25612887648105,-8.96893802556255,0.0111817833919673,4.25561510603533,piecewise,
groc_and_pharm vs parks,44.7902540209018,1.93309686417067,-11.4570834366186,7.34451657556104,30.1569706588853,piecewise,
groc_and_pharm vs transit stations,-56.6914721982379,0.216170172778031,-20.7866925620378,0.905817640580631,-33.0173030191837,disjoint,
groc_and_pharm vs workplaces,-21.124922155731,0.516919283280344,2.75765317424404,-0.24000111301718,25.9999999852529,piecewise,
groc_and_pharm vs residential,14.4273928486373,-0.10716828841927,5.32967956975738,-0.0887739046633928,-20.0009307884534,disjoint,
parks vs transit stations,-29.0815476626301,0.500191513589457,-11.2632269548448,0.119769589471399,53.1352622874296,piecewise,
parks vs workplaces,-14.0417292547937,0.552729707331827,2.75765317424404,-0.00468110415130128,0,piecewise_fsp,
parks vs residential,4.66474997970324,-0.252045868717867,-8.96893802556255,-0.0153176581898922,0,piecewise_fsp,
transit stations vs workplaces,-0.763672336158461,0.761508661583803,-13.845963173211,0.132058593899586,-5.04787963924708,disjoint,(piecewise)
transit stations vs residential,-2.40772860774208,-0.352346587026085,-8.96893802556255,-0.0727463612933403,-14.4238980136295,piecewise,
workplaces vs residential,13.3207837860822,-0.161265472805459,-0.170690589031218,-0.258999555319447,-44.0091441562838,disjoint,
