Comparison,a,b,c,d,x0,model,approximation
walking vs driving,-10.3754693646681,0.895887974449385,NaN,NaN,NaN,linear,
walking vs retail,-1.66363943576888,1.04514897741606,0,0.150548006675945,-27.1526202557016,piecewise,
walking vs groc_and_pharm,26.1581117197664,1.04754132277883,-7.34122689954172,0.157425203233259,-55.6902486007637,disjoint,
walking vs parks,5.99459456325258,1.06969281416491,-26.9465174056583,0.657962553644506,0,disjoint_fsp,
walking vs transit stations,14.4386149004584,1.12964134662596,0,0.153142758036482,-31.8722759308046,piecewise,
walking vs workplaces,13.4488008434275,0.947389689634568,0,-0.00756648283338913,-31.5032350468039,piecewise,
walking vs residential,-9.47798805821357,-0.472513749510315,0,-0.0122760737682819,-27.7154541681527,piecewise,
driving vs retail,16.0610785025853,1.2056371259975,-23.4126762612736,0.146849470838818,-36.1783702197048,piecewise,
driving vs groc_and_pharm,64.8092817598124,1.46671219694575,-3.9522167294059,0.148509924202359,-63.2876775816585,disjoint,
driving vs parks,-11.6206170433076,0.659363381973006,27.1832753167248,0.495522132627803,97.520000116545,disjoint,
driving vs transit stations,36.8053291783455,1.34044018335689,-16.6354079172268,0.165190329154095,-44.1412561395271,piecewise,
driving vs workplaces,37.1626551246267,1.19726825418763,3.2777081502719,0.0104124527501732,-47.6332213392471,piecewise,
driving vs residential,-19.080832466496,-0.566682336596831,-22.2441332697987,-0.0186258348473509,-41.9749452854002,piecewise,
retail vs groc_and_pharm,59.4227915151191,1.40203665651937,20.1002946672067,0.877246006567,-44.41929650026,disjoint,
retail vs parks,7.48059211089299,0.959465490477648,-16.6846175611065,4.37957245191653,-21.4221301526042,piecewise,
retail vs transit stations,29.9330130108078,1.20792803449203,8.45555424744042,0.948804227062057,-53.0445372285016,disjoint,
retail vs workplaces,2.75824340861648,0.707395353231431,3.2777081502719,-0.143556467877725,-22.9619992410197,piecewise,
retail vs residential,-4.22079046985026,-0.344320398386199,-22.2441332697987,-0.0180804387743238,-14.3108361075839,piecewise,
groc_and_pharm vs parks,-21.4257640932184,0.569389343386589,-16.6846175611065,3.61814319890327,-5.21963512042765,piecewise,
groc_and_pharm vs transit stations,71.877611104665,1.62177260155699,-16.1438527626045,0.969158891293841,-60.0176087266994,disjoint,
groc_and_pharm vs workplaces,-20.754466871167,0.519785308361357,-13.9449046671638,-0.163658174789126,0,disjoint_fsp,(piecewise)
groc_and_pharm vs residential,7.41503750542246,-0.216026096649287,2.02515103165349,-0.0153541450411352,0,disjoint_fsp,
parks vs transit stations,-0.165026225198829,0.874629926278638,-16.6354079172268,0.190699398810949,-10.4620116259801,piecewise,
parks vs workplaces,-2.43282646818894,0.66395790919715,3.2777081502719,-0.0376386943884017,-17.756583626882,piecewise,
parks vs residential,-2.19469599924595,-0.345116637805029,-22.2441332697987,-0.0141794012945348,-13.1166456228002,piecewise,
transit stations vs workplaces,-0.703175397988993,0.813498431726746,3.2777081502719,0.0663216412252106,-21.7547413902768,piecewise,
transit stations vs residential,-3.18894898085255,-0.409104323485052,-22.2441332697987,-0.0910454219779714,-15.3963871796898,piecewise,
workplaces vs residential,-7.06947767357326,-0.51804034936259,-2.0375964833423,-0.32787546637934,-16.0405201449581,disjoint,
