Comparison,a,b,c,d,x0,model,approximation
walking vs driving,-11.6741534135228,0.893252401957225,14.8779641323052,0.534116970256987,26.9227942339853,disjoint,
walking vs retail,-21.9921613101617,0.854215251026287,0,0.0619097380588069,8.84076613374428,piecewise,
walking vs groc_and_pharm,7.17555899929714,0.845165345199091,0,0.0329256241241715,-6.78000000012168,piecewise,
walking vs parks,3.42587460129262,1.00033650315401,0,0.482624539977714,0,piecewise_fsp,
walking vs transit stations,-16.3688984456797,0.713475113659875,0,0.0820764762330031,6.982568026304,piecewise,
walking vs workplaces,-12.0299240480614,0.631643197813659,0,-0.0196396545265809,0,piecewise_fsp,
walking vs residential,6.24775423912759,-0.288514811409707,0,-0.0130658418176301,10.8641608611658,piecewise,
driving vs retail,-7.83461332064094,0.985017188485264,1.66857369031035,0.078449798199219,-6.04428199785927,piecewise,
driving vs groc_and_pharm,26.2033139997588,1.04723582399539,3.42587460129262,0.0199580282054809,-21.9713421483284,piecewise,
driving vs parks,22.6452026464747,1.20566425235508,-1.8765260136996,0.820930649121173,-10.4479582955597,disjoint,
driving vs transit stations,-3.34874771098103,0.849281596668053,-12.0299240480614,0.145569602510429,-14.2390042529629,piecewise,
driving vs workplaces,-3.26873608786072,0.699046150089754,3.25523232443689,-0.0456560261019762,-9.66080650938456,piecewise,
driving vs residential,0.396397410188941,-0.353265315401057,-13.3141622775931,-0.0321183703622953,-12.5372004478283,piecewise,
retail vs groc_and_pharm,28.7987412113608,1.01732063295749,12.389802439644,0.902670988941396,-21.0134555621798,disjoint,
retail vs parks,64.2701815597118,1.7050884695943,-11.9601145081309,9.36574824232381,0,piecewise_fsp,
retail vs transit stations,3.72107146789105,0.838980209222119,2.33821145343462,0.505906139568349,-20.0120993654898,disjoint,
retail vs workplaces,0.905892854512123,0.671156217006892,3.25523232443689,-0.275674490514881,-17.238448766303,piecewise,
retail vs residential,-1.74251253959554,-0.335093890474007,0.855803860275833,3.66876429484002e-05,-12.0028092796421,disjoint,(piecewise)
groc_and_pharm vs parks,34.4353820518619,1.36061533316417,99.999999998385,-0.520978478978711,18.1312821946583,disjoint,
groc_and_pharm vs transit stations,-38.2897230759611,0.290322950004284,-10.1944857506758,0.366733925627741,-21.0053925506002,disjoint,
groc_and_pharm vs workplaces,-17.5978576790772,0.518695609613636,3.25523232443689,-0.567190453118641,13.432887185906,piecewise,
groc_and_pharm vs residential,17.2405358938797,-0.0788021082662794,4.64790019375989,-0.0963547318199365,-21.5433971100681,disjoint,
parks vs transit stations,-18.056940517151,0.67079294901043,-12.0299240480614,0.114486674904899,17.577533446648,piecewise,
parks vs workplaces,-16.7339569804468,0.507049740539351,3.25523232443689,-0.116302760185467,18.242739669859,piecewise,
parks vs residential,7.7659772717376,-0.247112738201,-13.3141622775931,-0.00262422330769872,28.3894696063794,piecewise,
transit stations vs workplaces,-3.10196818547824,0.78168895138683,-14.7144562901575,0.18712759555294,-7.00261748100723,disjoint,(piecewise)
transit stations vs residential,-0.588995246259506,-0.407536951872157,-13.3141622775931,-0.139098908131871,-5.37764119434005,piecewise,
workplaces vs residential,23.1612374382295,-0.0747908096272852,-1.78836530461826,-0.389429543950331,-54.0014363072999,disjoint,
