Comparison,a,b,c,d,x0,model,approximation
walking vs driving,23.727004161378,1.17911006203762,23.727004161378,0.427993269329604,0,piecewise_fsp,
walking vs retail,38.3307909722661,1.53528082186892,0,0.101617897718135,-37.4671218449641,piecewise,
walking vs groc_and_pharm,52.5178859699283,1.25091833462986,0,0.0672334012561301,-46.5200000002903,piecewise,
walking vs parks,61.4635165942164,1.6867066863882,0,0.450566682651858,-25.2437382772685,piecewise,
walking vs transit stations,6.85354336766943,1.07520125662778,0,0.135148391136817,-36.3270172734683,piecewise,
walking vs workplaces,42.6127042265513,1.30840116325952,0,0.00329453966704264,-46.3008960158503,piecewise,
walking vs residential,-17.5875758405433,-0.58837284638668,0,-0.0299446681643786,-40.3579050274008,piecewise,
driving vs retail,-7.37328990337705,1.00613134092914,-2.54713713096102,0.124898003991265,-7.20238389932176,piecewise,
driving vs groc_and_pharm,20.907475129717,0.913307057427056,30.2587218658344,0.0731529825427313,-27.1899999972133,piecewise,
driving vs parks,8.91995965576474,1.00591105507103,82.7402892547279,0.294621207270491,74.6500027164935,disjoint,(piecewise)
driving vs transit stations,-24.1761351524791,0.71332814105543,-17.8149018420014,0.193552202117641,-6.09999999950297,piecewise,
driving vs workplaces,-1.28864117407419,0.767329431091783,4.94941554077683,-0.0240516235766492,-18.6164974832702,piecewise,
driving vs residential,-0.109581648569189,-0.380469320517609,-13.720270700884,-0.0626921368178379,-19.0119718849787,piecewise,
retail vs groc_and_pharm,49.0524212377949,1.49798787753635,8.40353037407095,0.593717491622259,-90.0000000000033,disjoint,
retail vs parks,42.1449364012036,1.38475993213058,-27.2957733149942,5.08573309501982,-12.4576319439618,piecewise,
retail vs transit stations,-16.7132079738364,0.722400465221701,-13.9066019087954,0.437208960531371,-17.0546529488117,disjoint,
retail vs workplaces,-1.85796743662408,0.650141076490461,4.94941554077683,-0.597683513482336,-14.0714806401328,piecewise,
retail vs residential,-0.946102111549108,-0.333565752102976,2.01624992885189,-0.0472169005215663,-17.0012104134615,disjoint,(piecewise)
groc_and_pharm vs parks,33.8535061446414,1.51483472750597,99.9999999942155,-1.55471911772245,11.5562668535398,disjoint,
groc_and_pharm vs transit stations,-25.5371457028253,0.751507504316107,-17.6880813666133,-0.297063939471027,19.0003840934525,disjoint,(piecewise)
groc_and_pharm vs workplaces,-16.9463674286544,0.583430436632395,-12.2659773606762,-0.46074229812909,0,disjoint_fsp,(piecewise)
groc_and_pharm vs residential,18.3367073022555,-0.0779389614555647,5.34874023866815,-0.1077396836875,-24.0116766858411,disjoint,
parks vs transit stations,-33.2981884528573,0.569377003144487,-17.8149018420014,0.0189961986378811,31.2673781559922,piecewise,
parks vs workplaces,-18.2711604672695,0.466172894586113,4.94941554077683,-0.206139284751318,25.3884949001153,piecewise,
parks vs residential,7.97828863305734,-0.239398895927268,-13.720270700884,0.014351581174472,30.6819812275277,piecewise,
transit stations vs workplaces,1.85403301916613,0.818359528559452,-9.00462630564466,0.396219096311636,-65.0173371392635,disjoint,
transit stations vs residential,-9.98065754836734,-0.486103547285421,-13.720270700884,-0.176141905792121,-29.5325478280093,piecewise,
workplaces vs residential,8.06739574844473,-0.293484550585004,-0.384359015242044,-0.310564680453241,-53.0000777764341,disjoint,
