country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-15,-41,-10,-26,-41,-31,12
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-16,-38,-6,0,-36,-34,12
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-17,-40,-6,-14,-35,-28,11
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-18,-39,-3,-9,-36,-28,11
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-19,-40,-1,-9,-34,-28,12
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-20,-46,-6,2,-40,-29,12
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-21,-59,-33,-10,-47,-26,11
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-22,-39,-9,-11,-38,-29,10
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-23,-38,-4,-6,-37,-30,11
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-24,-37,-2,0,-36,-28,10
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-25,-37,-3,-8,-36,-28,11
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-26,-38,1,-7,-36,-28,11
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-27,-45,-4,-4,-41,-29,11
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2021-02-28,-59,-30,-19,-48,-25,11
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-15,-38,-5,-6,-50,-35,10
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-16,-37,-2,1,-43,-35,10
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-17,-37,-8,-6,-45,-33,9
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-18,-37,-3,-8,-42,-30,10
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-19,-39,3,2,-43,-30,10
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-20,-48,-8,-15,-54,-29,9
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-21,-53,-20,-23,-58,-31,6
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-22,-40,-7,-16,-44,-22,7
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-23,-38,-5,2,-35,-22,7
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-24,-39,-6,-6,-40,-22,7
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-25,-38,-5,-9,-37,-21,7
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-26,-41,-1,-5,-36,-21,7
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-27,-49,-9,-22,-48,-24,7
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2021-02-28,-53,-20,-27,-58,-32,5
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-15,-31,-8,-28,-45,-29,11
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-16,-26,0,-9,-41,-26,9
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-17,-25,0,-1,-39,-23,8
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-18,-26,2,0,-37,-23,8
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-19,-27,4,6,-38,-23,8
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-20,-30,2,25,-29,-23,7
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-21,-35,-22,82,-27,-16,5
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-22,-26,-4,8,-41,-27,8
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-23,-27,-2,1,-40,-27,9
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-24,-25,1,3,-39,-25,8
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-25,-25,2,9,-37,-25,8
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-26,-25,6,14,-36,-25,8
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-27,-29,4,29,-31,-24,7
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2021-02-28,-35,-18,60,-29,-16,6
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-15,-39,-10,-28,-56,-34,14
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-16,-28,2,-2,-43,-22,9
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-17,-31,3,-11,-41,-19,8
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-18,-27,5,-2,-39,-19,8
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-19,-30,9,-6,-37,-22,7
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-20,-30,8,11,-43,-22,7
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-21,-35,-21,21,-34,-14,5
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-22,-27,3,2,-42,-22,7
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-23,-26,6,14,-39,-20,7
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-24,-27,7,7,-35,-20,7
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-25,-25,8,9,-36,-19,7
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-26,-27,13,5,-36,-22,7
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-27,-25,21,11,-27,-22,5
IT,Italy,Basilicata,<undefined>,<undefined>,IT-77,<undefined>,ChIJgyyNBTHqOBMRjbbjVk3MQQI,2021-02-28,-32,-8,13,-26,-11,4
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-15,-33,-10,-21,-35,-32,10
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-16,-27,-1,3,-26,-27,8
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-17,-31,1,-11,-25,-25,8
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-18,-27,5,4,-21,-25,8
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-19,-28,3,18,-24,-25,8
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-20,-30,-1,25,-16,-24,6
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-21,-38,-20,37,-14,-17,5
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-22,-23,2,15,-25,-24,6
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-23,-23,4,25,-22,-25,6
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-24,-25,6,13,-21,-24,7
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-25,-24,9,18,-14,-25,7
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-26,-25,8,26,-19,-24,7
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-27,-28,5,16,-14,-22,6
IT,Italy,Calabria,<undefined>,<undefined>,IT-78,<undefined>,ChIJCxVihNKQPxMRcSMmPSQdpJE,2021-02-28,-33,-13,49,-5,-15,4
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-15,-29,1,-28,-42,-30,9
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-16,-25,-2,-3,-38,-33,10
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-17,-31,-1,-27,-38,-26,9
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-18,-28,3,-14,-36,-26,8
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-19,-29,7,-18,-37,-26,8
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-20,-28,8,12,-25,-20,5
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-21,-51,-12,-24,-44,-16,9
IT,Italy,Campania,<undefined>,<undefined>,IT-72,<undefined>,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2021-02-22,-32,0,-16,-40,-26,8
